Name,Direct downloads,Indirect downloads,Total
Rcpp,68962,383978,452940
R6,191397,235869,427266
tibble,42433,357818,400251
ggplot2,118819,273909,392728
stringi,35783,288642,324425
stringr,35336,284097,319433
curl,118778,190638,309416
lazyeval,11388,293455,304843
digest,20235,280828,301063
DBI,46767,241579,288346
jsonlite,27546,253646,281192
plyr,31383,245962,277345
magrittr,16450,254543,270993
reshape2,31906,230319,262225
scales,23858,231565,255423
BH,35957,217080,253037
htmltools,21334,229570,250904
assertthat,32306,217559,249865
RColorBrewer,26929,221510,248439
colorspace,15049,220969,236018
knitr,11455,209107,220562
dplyr,93201,125868,219069
mime,18434,198905,217339
munsell,19978,196739,216717
gtable,16098,200241,216339
labeling,20589,191165,211754
dichromat,8428,202744,211172
markdown,9454,194910,204364
yaml,20674,174731,195405
memoise,77870,114113,191983
backports,35080,147799,182879
rmarkdown,13885,163192,177077
evaluate,16301,159907,176208
httr,12519,163650,176169
data.table,66378,108778,175156
readr,119770,54582,174352
base64enc,20760,151430,172190
XML,93408,78104,171512
tidyr,83696,85969,169665
openssl,20350,148870,169220
bitops,9464,157109,166573
devtools,122266,42299,164565
shiny,51225,110319,161544
highr,17103,142822,159925
zoo,21018,135549,156567
rJava,40921,109880,150801
RcppEigen,27475,123173,150648
rlang,16747,133555,150302
lme4,27164,118087,145251
caTools,27063,117731,144794
xtable,24068,120485,144553
car,57355,80022,137377
SparseM,15264,120832,136096
htmlwidgets,8479,125245,133724
Hmisc,42331,90436,132767
quantreg,14636,113968,128604
hms,13101,114487,127588
sourcetools,12944,114018,126962
viridisLite,97785,28103,125888
rprojroot,14058,111607,125665
lubridate,86934,38052,124986
gridExtra,28611,93600,122211
readxl,78657,39188,117845
viridis,23551,91146,114697
foreach,4013,107579,111592
iterators,6009,105168,111177
psych,63109,47821,110930
httpuv,11315,99202,110517
RcppArmadillo,27476,82303,109779
nloptr,11735,97274,109009
pbkrtest,5821,101622,107443
Matrix,33529,70403,103932
minqa,10866,92837,103703
tidyverse,100186,2638,102824
formatR,50930,51186,102116
mvtnorm,11857,88771,100628
foreign,69661,30854,100515
cellranger,9641,90768,100409
MatrixModels,4425,95003,99428
rematch,5170,93763,98933
MASS,20431,78074,98505
RCurl,23487,71253,94740
purrr,18815,72985,91800
rstudioapi,10191,81201,91392
git2r,10531,80656,91187
survival,11842,79179,91021
withr,2806,87963,90769
whisker,11345,79041,90386
lmtest,32939,53061,86e3
forecast,35539,49226,84765
irlba,31495,52584,84079
gtools,8586,74701,83287
RODBC,78929,4064,82993
Formula,8862,74072,82934
sp,8677,73697,82374
e1071,35606,46247,81853
latticeExtra,10355,70271,80626
gdata,6690,72602,79292
mnormt,8329,70112,78441
checkmate,4317,73633,77950
htmlTable,8211,69528,77739
xml2,8510,68426,76936
rpart,43280,33501,76781
igraph,29751,45915,75666
acepack,10207,65347,75554
doParallel,13129,61849,74978
caret,52543,19626,72169
lattice,9593,59942,69535
testthat,816,67598,68414
sandwich,6131,61583,67714
registry,2938,63811,66749
RMySQL,57653,7438,65091
pkgmaker,1567,62693,64260
crayon,7608,56571,64179
rngtools,8560,55532,64092
NMF,8990,55014,64004
gridBase,10980,51734,62714
RSQLite,12935,49484,62419
quadprog,7229,54295,61524
xlsx,58452,2842,61294
gplots,23975,35472,59447
boot,40607,17875,58482
rgl,20361,37932,58293
tseries,14027,44257,58284
cluster,35155,21556,56711
praise,6333,49013,55346
plogr,5628,49264,54892
abind,6810,47529,54339
rjson,15035,38656,53691
plotly,36378,17293,53671
maps,9148,44419,53567
png,8982,44477,53459
coda,4887,48350,53237
randomForest,32113,21080,53193
xts,5329,47295,52624
broom,15189,37403,52592
mclust,23766,28768,52534
glmnet,34884,17282,52166
reshape,18919,32766,51685
rvest,18986,31706,50692
multcomp,12827,37080,49907
crosstalk,8542,40856,49398
xlsxjars,11041,37881,48922
haven,18167,30742,48909
