org_id,total_m
3886902,3054.0
95143,1745.0
3681780,1167.0
3815374,866.0
2206,672.0
7022203,472.0
2156,470.0
1349067,397.0
1146,370.0
142,328.0
13369,316.0
76303,313.0
306611,295.0
36348,285.0
2062703,285.0
1349077,283.0
9502,282.0
6837752,275.0
1829433,270.0
5092,269.0
1349070,267.0
5954,259.0
259105,257.0
199513,243.0
2566919,243.0
1007812,234.0
3497088,232.0
4066,231.0
384791,231.0
1962,229.0
10963,214.0
25694,212.0
7523540,210.0
1859629,203.0
6093870,199.0
1349073,181.0
6492,178.0
2791188,165.0
353824,162.0
54544,159.0
260681,155.0
10601137,154.0
6732,154.0
19222,145.0
4091,144.0
1047,139.0
3432832,137.0
55612,137.0
3686308,136.0
35329,135.0
