Name,Direct downloads,Indirect downloads,Total
1. curl,141165,220902,362067
2. ggplot2,139237,287877,427114
3. dplyr,120506,117893,238399
4. readr,116297,56124,172421
5. viridisLite,109945,29766,139711
6. devtools,109880,35606,145486
7. lubridate,101848,39350,141198
8. tidyverse,101714,2731,104445
9. readxl,94074,41586,135660
10. memoise,79613,108896,188509
11. foreign,77439,26393,103832
12. caret,76538,22142,98680
13. data.table,74952,115408,190360
14. shiny,72019,113692,185711
15. XML,71558,80326,151884
16. Rcpp,67565,387989,455554
17. tidyr,66106,83817,149923
18. car,65838,87901,153739
19. psych,61772,50947,112719
20. xlsx,60070,3084,63154
21. RODBC,56970,4116,61086
22. formatR,56178,47561,103739
23. assertthat,55337,165588,220925
24. DBI,54448,213866,268314
25. R6,52334,228660,280994
26. stringi,52266,297806,350072
27. boot,51006,19382,70388
28. rpart,48404,32244,80648
29. cluster,46598,24273,70871
30. lme4,45530,129469,174999
31. plotly,43296,15874,59170
32. rJava,41604,111588,153192
33. stringr,40699,290176,330875
34. e1071,40619,50780,91399
35. tibble,39912,366375,406287
36. RcppArmadillo,39609,89424,129033
37. RMySQL,38755,8126,46881
38. sqldf,38032,936,38968
39. BH,37319,226877,264196
40. forecast,36910,52165,89075
41. Hmisc,36179,91914,128093
42. matrixStats,36054,8583,44637
43. reshape2,35614,238047,273661
44. wordcloud,35578,7350,42928
45. glmnet,35224,17749,52973
47. jsonlite,33982,281105,315087
48. lmtest,33821,59693,93514
49. plyr,33757,255313,289070
50. quantmod,31388,9998,41386
6. randomForest,34908,22980,57888
